timestamp, frame, x, y, z, qx, qy, qz, qw
1326521.409,0,0.057826616,-0.13130464,-0.57808095,-0.006851228,0.99486876,-0.07624046,-0.066155195
1326522.409,1,0.11328122,-0.13951312,-0.59529835,0.012177638,0.98981446,-0.0789318,-0.11785056
1326523.409,2,0.5120619,-0.12585491,-0.7379943,0.00316065,0.97867376,-0.08726147,-0.18593867
1326524.409,3,0.8116595,-0.13597065,-0.9404938,0.000544437,0.9675925,-0.07714517,-0.24044365
1326525.409,4,1.5362737,-0.18031132,-1.1645565,0.023357358,0.94607395,-0.07812323,-0.31352094
1326526.409,5,1.402949,-0.14226367,-1.513226,-0.010274638,0.89260936,-0.08969043,-0.44169965
1326527.409,6,1.7590036,-0.14454372,-1.784213,-0.05674722,0.83063096,-0.13052621,-0.538326
1326528.409,7,1.8596716,-0.15592486,-2.1229424,-0.02755194,0.8175989,-0.07174086,-0.57063675
1326529.409,8,2.5624092,-0.13572274,-2.5459437,-0.03778167,0.76043934,-0.06858635,-0.64467084
1326530.409,9,2.142839,-0.15003175,-2.959287,-0.0600473,0.6820466,-0.077604674,-0.72469604
1326531.409,10,2.967755,-0.1522241,-3.4131286,-0.046735853,0.6261907,-0.073883,-0.7747531
1326532.409,11,1.9372607,-0.12815788,-3.9480097,-0.05368341,0.51641184,-0.052122008,-0.8530652
1326533.409,12,1.7338278,-0.12594813,-4.303834,-0.07798432,0.4579307,-0.050848946,-0.8840997
1326534.409,13,1.4907283,-0.13417682,-4.582551,-0.0640015,0.37690687,-0.059944287,-0.922091
1326535.409,14,1.1274478,-0.11585206,-4.8931284,-0.08907167,0.26896074,-0.04338858,-0.9580416
1326536.409,15,0.69891757,-0.10719257,-5.0300083,-0.075016625,0.1954405,-0.013537646,-0.9777486
1326537.409,16,0.2838155,-0.13675892,-5.0795918,-0.0660566,0.11118117,-0.040131386,-0.99078995
1326538.41,17,-0.1711618,-0.11195935,-5.176719,-0.06810163,0.08098995,-0.02580267,-0.9940508
1326539.41,18,-0.65302604,-0.10189902,-5.072674,-0.08208417,-0.043674864,0.000108376,-0.995668
1326540.41,19,-0.9827879,-0.13412482,-4.811715,-0.073128276,-0.14130391,-0.0367228,-0.9865784
1326541.443,20,-1.4137295,-0.12107918,-4.5626464,-0.051730394,-0.24905294,-0.048987553,-0.96586585
1326542.443,21,-2.0114193,-0.11308699,-4.4517326,-0.09719217,-0.35769427,-0.032185465,-0.92820936
1326543.443,22,-2.2421453,-0.13536045,-4.187275,-0.15100732,-0.39391258,-0.01691157,-0.9065008
1326544.443,23,-2.3394883,-0.1322945,-3.7933512,-0.10256895,-0.49536768,-0.029491102,-0.86210257
1326545.443,24,-2.3962712,-0.1374211,-3.2943637,-0.10229741,-0.62860906,-0.002925338,-0.7709587
1326546.443,25,-2.3174412,-0.13047871,-2.79172,0.10239503,0.7226425,-0.021260258,0.6832651
1326547.443,26,-2.0814998,-0.13222003,-2.330893,0.14091386,0.78616124,-0.07544664,0.5969938
1326548.443,27,-1.9893484,-0.13444534,-1.8551555,0.13150127,0.8508102,-0.06224973,0.5049301
1326549.443,28,-1.915249,-0.13960817,-1.4110932,0.1249351,0.9051582,-0.07198663,0.3998722
1326550.443,29,-1.700818,-0.14757249,-0.9542963,0.0970243,0.9347562,-0.06701465,0.33515096
1326551.443,30,-1.3114797,-0.13197067,-0.5987886,0.05638139,0.97597337,-0.08518625,0.19245888
1326552.443,31,-0.757244,-0.10846526,-0.46701387,0.02254307,0.98821306,-0.09437335,0.11840845
